userId,movieId,rating,timestamp
135,18,4.0,844996129
135,20,3.0,844995987
135,21,3.0,844995924
135,27,3.0,844996094
135,65,1.0,844996036
135,102,3.0,844996094
135,104,3.0,844995987
135,121,4.0,844996191
135,135,1.0,844996017
135,209,3.0,844996159
135,637,3.0,844996036
135,662,3.0,844996171
135,736,1.0,844995935
135,737,1.0,844996003
135,747,2.0,844996017
135,754,3.0,844996213
135,762,3.0,844996036
135,778,5.0,844996017
135,818,2.0,844996139
135,849,1.0,844996105
135,1103,3.0,844996304
136,1,4.5,1405977265
136,104,4.5,1405977509
136,260,4.5,1405975997
136,318,4.0,1405975931
136,364,4.5,1405977316
136,500,3.5,1405977333
136,586,3.5,1405977381
136,588,4.5,1405977300
136,595,4.0,1405977321
136,780,4.0,1405977278
136,912,3.0,1405975956
136,953,4.0,1405977627
136,1099,4.5,1405975538
136,1196,4.0,1405977294
136,1210,3.5,1405977273
136,1265,3.0,1405977357
136,1682,4.0,1405977426
136,1968,1.0,1405977464
136,2014,3.5,1405975561
136,2135,3.5,1405975526
136,2153,4.0,1405975484
136,2394,4.0,1405975260
136,2422,3.0,1405975376
136,2628,4.0,1405977361
136,2797,3.5,1405977493
136,2926,2.0,1405975398
136,3114,4.5,1405977436
136,3461,3.0,1405975454
136,3552,3.0,1405975219
136,3578,5.0,1405977354
136,3793,4.0,1405977391
136,3991,3.0,1405975645
136,4006,4.0,1405975439
136,4306,5.0,1405977351
136,4886,3.5,1405977432
136,4896,4.5,1405977551
136,4993,4.0,1405977327
136,5349,4.0,1405977459
136,5378,4.0,1405977563
136,5952,4.5,1405977346
136,6377,4.5,1405977449
136,6535,3.5,1405975580
136,6539,5.0,1405977419
136,6663,3.5,1405975698
136,6794,3.5,1405975826
136,7153,4.0,1405977371
136,8636,3.5,1405977595
136,8961,4.0,1405977506
136,34332,3.5,1405975837
136,58559,4.0,1405977519
137,10,4.0,946411786
137,32,5.0,946412547
137,50,5.0,946412158
137,60,3.0,946411893
137,260,5.0,946412230
137,296,5.0,946412180
137,349,4.0,946411786
137,364,5.0,946412403
137,367,5.0,946412262
137,380,5.0,946411809
137,531,3.0,946411129
137,541,4.0,946412480
137,588,4.0,946412403
137,589,5.0,946412517
137,590,4.0,946411646
137,594,3.0,946412403
137,595,5.0,946412430
137,736,4.0,946411786
137,898,4.0,946411959
137,899,4.0,946412362
137,910,5.0,946411987
137,919,3.0,946412362
137,952,4.0,946411786
137,986,2.0,946411524
137,1009,4.0,946411809
137,1017,4.0,946411646
137,1073,3.0,946411524
137,1077,3.0,946412547
137,1097,5.0,946412262
137,1136,4.0,946411987
137,1196,5.0,946412480
137,1200,3.0,946412517
137,1210,5.0,946411653
137,1214,3.0,946412480
137,1240,5.0,946412480
137,1244,1.0,946412054
137,1259,5.0,946411610
137,1265,5.0,946411375
137,1270,5.0,946412054
137,1282,2.0,946412430
